date,open,high,low,close,volume
2006-01-03,178.69,178.86,176.53,178.81,158041.0
2006-01-04,180.57,181.01,179.49,179.91,188841.0
2006-01-05,180.31,180.31,176.84,178.82,206332.0
2006-01-06,179.33,180.87,178.79,180.87,206313.0
2006-01-09,181.95,181.99,179.82,180.3,191222.0
2006-01-10,180.92,181.62,177.88,178.98,182811.0
2006-01-11,178.67,179.5,177.42,178.67,210165.0
2006-01-12,179.33,180.91,179.23,179.65,174516.0
2006-01-13,179.2,181.71,177.82,181.71,164021.0
2006-01-16,182.56,182.78,180.72,182.39,161264.0
2006-01-17,182.62,183.02,178.24,178.27,179089.0
2006-01-18,176.82,176.95,171.46,173.81,214270.0
2006-01-19,174.39,175.8,173.26,174.93,158267.0
2006-01-20,176.04,177.14,170.22,170.6,196215.0
2006-01-23,168.55,171.32,166.62,168.04,194868.0
2006-01-24,169.39,172.09,167.73,171.79,202230.0
2006-01-25,173.56,174.78,172.66,173.52,193873.0
2006-01-26,174.45,174.72,171.72,174.71,146079.0
2006-01-27,176.69,178.65,175.88,178.64,151204.0
2006-01-31,179.46,181.21,178.14,180.65,133175.0
2006-02-01,179.4,180.69,176.98,178.07,156566.0
2006-02-02,179.52,179.79,175.79,177.92,148308.0
2006-02-03,175.8,176.48,172.35,172.67,153799.0
2006-02-06,171.77,173.77,169.27,173.66,143668.0
2006-02-07,173.66,175.07,172.07,172.39,123073.0
2006-02-08,171.5,173.93,169.16,169.44,140059.0
2006-02-09,171.5,172.01,169.84,170.93,124130.0
2006-02-10,171.9,173.29,169.99,172.68,126671.0
2006-02-13,173.15,173.17,169.04,170.61,114299.0
2006-02-14,169.89,171.93,168.29,171.65,102969.0
2006-02-15,173.46,173.47,167.84,168.31,154391.0
2006-02-16,168.8,170.64,167.72,169.8,118926.0
2006-02-17,171.3,172.47,169.93,172.4,101806.0
2006-02-20,172.78,175.62,171.7,174.28,132133.0
2006-02-21,174.56,174.88,173.07,174.04,106202.0
2006-02-22,173.85,175.49,171.0,173.26,111841.0
2006-02-23,174.29,176.33,174.01,176.18,126845.0
2006-02-24,176.61,177.13,175.23,176.96,120908.0
2006-02-27,176.81,178.11,176.12,178.1,96008.0
2006-02-28,178.37,178.69,176.43,177.45,96131.0
2006-03-02,178.3,178.4,176.83,176.85,158515.0
2006-03-03,176.52,176.78,171.19,171.67,136905.0
2006-03-06,172.23,173.86,171.01,173.86,109493.0
2006-03-07,172.78,172.78,169.75,170.13,110355.0
2006-03-08,168.35,170.91,167.39,169.76,113958.0
